16705053|0|166|0|98|300|2013-10-28 12:25:00|2013-10-28 18:25:00|2013-10-28 12:30:00|2013-10-28 18:30:00|36|0|0|3|2|2|2|2|2|-1|-1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|2|5|1|1|0|0|2|0|0|0|0|0|0|0|0|0|08100142931382984700|40020|001D05021|40020||50138||40020|001D05021||||||||||||||||||0|1|2|0|0|0|
16705054|0|0|0|300|300|2013-10-28 12:25:02|2013-10-28 18:25:02|2013-10-28 12:30:02|2013-10-28 18:30:02|0|0|0|300|0|3|3|3|3|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100142941382984702|40030|001D06010|40030||||40030|001D06010||||||||||||||||||0|0|0|0|0|0|
16705055|0|0|0|300|300|2013-10-28 12:25:04|2013-10-28 18:25:04|2013-10-28 12:30:04|2013-10-28 18:30:04|0|0|0|300|0|8|8|8|8|-1|-1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100142951382984704|40080|001D09007|40080||||40080|001D09007||||||||||||||||||0|0|0|0|0|0|
16705056|0|0|0|300|300|2013-10-28 12:25:05|2013-10-28 18:25:05|2013-10-28 12:30:05|2013-10-28 18:30:05|0|0|0|300|0|5|5|5|5|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100142961382984705|40050|001D07017|40050||||40050|001D07017||||||||||||||||||0|0|0|0|0|0|
16705057|0|0|0|300|300|2013-10-28 12:25:11|2013-10-28 18:25:11|2013-10-28 12:30:11|2013-10-28 18:30:11|0|0|0|300|0|5|5|5|5|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100142991382984711|40050|001D07018|40050||||40050|001D07018||||||||||||||||||0|0|0|0|0|0|
16705058|0|0|0|149|264|2013-10-28 12:25:48|2013-10-28 18:25:48|2013-10-28 12:30:12|2013-10-28 18:30:12|10|0|0|12|2|2|2|2|2|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|5|1|1|0|0|2|0|0|0|0|0|0|0|0|0|08100143131382984748|40020|001D06001|40020||50027||40020|001D06001||||||||||||||||||0|1|2|0|0|0|
16705058|0|0|0|32|105|2013-10-28 12:28:27|2013-10-28 18:28:27|2013-10-28 12:30:12|2013-10-28 18:30:12|73|0|0|5|2|1|1|1|1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|5|0|2|0|0|1|0|0|0|0|0|0|0|0|0|08100143861382984907|40010||40010|50027|50145||40010|50027||||||||||||||||||0|1|1|0|0|0|
16705059|0|0|0|0|175|2013-10-28 12:27:18|2013-10-28 18:27:18|2013-10-28 12:30:13|2013-10-28 18:30:13|175|0|0|0|0|1|1|1|1|-1|-1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|5|0|1|0|0|1|0|0|0|0|0|0|0|0|0|08100143521382984838|40010|001D10015|40010||50150||40010|001D10015||||||||||||||||||0|2|1|0|0|0|
16705060|0|0|0|9|241|2013-10-28 12:26:12|2013-10-28 18:26:12|2013-10-28 12:30:13|2013-10-28 18:30:13|232|0|0|9|0|1|1|1|1|-1|-1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|5|0|1|0|0|1|0|0|0|0|0|0|0|0|0|08100143221382984772|40010|001D10016|40010||50143||40010|001D10016||||||||||||||||||0|1|1|0|0|0|
16705061|0|0|0|35|206|2013-10-28 12:26:54|2013-10-28 18:26:54|2013-10-28 12:30:20|2013-10-28 18:30:20|171|0|0|35|0|2|2|2|2|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|5|0|1|0|0|2|0|0|0|0|0|0|0|0|0|08100143401382984814|40020|001D05006|40020||50310||40020|001D05006||||||||||||||||||0|1|2|0|0|0|
16705062|0|0|0|300|300|2013-10-28 12:25:21|2013-10-28 18:25:21|2013-10-28 12:30:21|2013-10-28 18:30:21|0|0|0|300|0|5|5|5|5|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100143031382984721|40050|001D07019|40050||||40050|001D07019||||||||||||||||||0|0|0|0|0|0|
16705063|0|0|0|300|300|2013-10-28 12:25:28|2013-10-28 18:25:28|2013-10-28 12:30:28|2013-10-28 18:30:28|0|0|0|300|0|10|10|10|10|-1|-1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100143051382984728|40110|001D10005|40110||||40110|001D10005||||||||||||||||||0|0|0|0|0|0|
16705064|0|0|0|300|300|2013-10-28 12:25:30|2013-10-28 18:25:30|2013-10-28 12:30:30|2013-10-28 18:30:30|0|0|0|300|0|3|3|3|3|-1|-1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|08100143061382984730|40030|001D06011|40030||||40030|001D06011||||||||||||||||||0|0|0|0|0|0|
